iter	Quantile:alpha=0.5
0	0.5792365561
1	0.5666150134
2	0.5582849852
3	0.5500358533
4	0.5431015459
5	0.5361937188
6	0.5295384073
7	0.523747153788	0.518372291799	0.5132878685110	0.5107802821111	0.5069662052112	0.5043807971113	0.5013906724114	0.4988890311115	0.4960730018
16	0.4944727611117	0.4919528741818	0.4899490419	19	0.48797920	020	0.4862821	0.4429939618
22	0.4408629746
23	0.23	0.47942724	024	0.477979325	0225	0.45695026	0226	0.45524927	0227	0.45429428	0.28	0.45280229	0229	0.4512002931330	0.450095271
31	0.4491504084332	0.4474502395
33	0.4460090014
34	0.4451850324
35	0.4435658324
36	0.4428775971
37	0.4418087815
38	0.4410231653
39	0.4398603161
40	0.4390707013
41	0.4379485125
42	0.4371259889
43	0.4355770444	44	0.4339772045	45	0.4333416746	46	0.4320470003
47	0.4309539219
48	0.4299337649	49	0.4292961343
50	0.4285983748
51	0.4276917581
52	0.4268075853	53	0.4254237954	0.4472264238
55	0.4466993002
56	0.446176568
57	0.4457562954
58	0.4452528186
59	0.4441229687
60	0.4431168848
61	0.4410878052
62	0.4396630324
63	0.4382221634
64	0.4374173519
65	0.4364680988
66	0.4353020235
67	0.4345321698
68	0.4335991627
69	0.4325369139
70	0.4315078286

71	0.4000847317272	0.3993437097373	0.3988449528
74	0.3978656733
75	0.3969479918
76	0.3958408894
77	0.3950343176
78	0.3942803771
79	0.3936305939
80	0.3929774082
81	0.3922815774
82	0.391189698383	0.39037685984	0.3785868256
885	0.3885422562886	0.3876060914887	0.3863665473888	0.3856820296889	0.3850450161990	0.3843143959991	0.3830282524992	0.3826489019993	0.3817826333
94	0.3813027531
95	0.3805064749696	0.3798060129797	0.3790666009898	0.3782723579999	0.3769125171100	0.37593371051101	0.37485014531102	0.37380436471103	0.373188478
104	0.3725684127
105	0.3719223617
106	0.3710085882
107	0.3705793235
108	0.3697099236
109	0.368826563
110	0.3678724746
111	0.3673243228
112	0.3663204143
113	0.3657779133
114	0.3651902851
115	0.3643635828
116	0.3637940368
117	0.3630046754
118	0.3622686348
119	0.3616854499
120	0.3609480579
121	0.3599816381
122	0.3591126078
123	0.3581367872
124	0.3574785125	125	0.3570525126	126	0.3564842127	0.3439603061
128	0.343409904
129	0.3426312105
130	0.341853701
131	0.341106917
132	0.3405426155
133	0.3397231282
134	0.3389770755
135	0.3382518149
136	0.3377419001
137	0.3369994557
138	0.3364397977
139	0.3359285158
140	0.3355386986
141	0.334690053
142	0.3343605107
143	0.333880456
144	0.3334174762
145	0.3325432385
146	0.3316773689
147	0.3307462468
148	0.3301324048
149	0.3296822943
150	0.3292850637
151	0.3287616435
152	0.3281976128
153	0.3276740038
154	0.3273151235
155	0.3266432233
156	0.3261954776
157	0.3258553199
158	0.3252238766
159	0.3245554059
160	0.3237633871
161	0.3232360135
162	0.3228683418
163	0.3222619228
164	0.32196219
165	0.3213899802
166	0.3209673821
167	0.3203917751
168	0.319950591
169	0.3195965863
170	0.3190639359
171	0.3185655595
172	0.3182537543
173	0.3176399588
174	0.3172024478
175	0.3165843551
176	0.3157771127
177	0.315330687
178	0.3149290049
179	0.3145456348
180	0.3141975357
181	0.3136538241
182	0.3132688177
183	0.3129932944
184	0.3125405057
185	0.3123340014
186	0.3118366458
187	0.3112111957
188	0.3106504757
189	0.3100486708
190	0.3095673195
191	0.3088571336
192	0.308192	0.31193	0.308193	0.3166148041
194	0.31195	0.306195	0.31196	0.306196	0.31197	0.306197	0.31198	0.305198	0.31199	0.3049654963
37943539
12638284
200	0.4123003865
201	0.4118215014
202	0.4113223357
203	0.4108776596
204	0.4103931746
205	0.4101742065
206	0.4091344639
207	0.4086533997
208	0.4084721304
209	0.4076844828
210	0.4071599343
211	0.4068639744
212	0.4059848969
213	0.4057711446
214	0.4055726304
215	0.4052572156
216	0.404749307
217	0.4044932951
218	0.4041735822
219	0.4038028984
220	0.403482773
221	0.4031678268
222	0.4030480093
223	0.4026496523
224	0.4024692026
225	0.4021941263
226	0.4019857424
227	0.4016449038
228	0.4013656515
229	0.4009808418
230	0.4003963321
231	0.400072263
232	0.3996559409
233	0.3991813008
234	0.3988568197
235	0.3986523121
236	0.3984151566
237	0.3981957384
238	0.398026147
239	0.397844287
240	0.3974602096
241	0.3971862777
242	0.3970731312
243	0.3962353735
244	0.3960756531
245	0.3958194968
246	0.3955605924
247	0.395432023
248	0.3950914654
249	0.3948261818
250	0.3945161334
251	0.3942869982
252	0.3938894899
253	0.3938660075
254	0.3938245472
255	0.3933836242
256	0.3931123846
257	0.3929091402
258	0.3923363469
259	0.3920814329
260	0.3918127289
261	0.3915375558
262	0.3912211072
263	0.3911853407
264	0.390985532
265	0.3907653325
266	0.3901277719
267	0.3898299797
268	0.3894894342
269	0.3892310819
270	0.3890231868
271	0.3888627513
272	0.3884960938
273	0.3882925524
274	0.3876675327
275	0.3873419496
276	0.3867782684
277	0.3864277729
278	0.386102309
279	0.3859474028
280	0.3858015401
281	0.3856712502
282	0.3854543947
283	0.3853560011
284	0.3852488795
285	0.3850226709
286	0.3847846842
287	0.3844525702
288	0.3841565273
289	0.383967123
290	0.3838314373
291	0.3837631055
292	0.3835022653
293	0.3832861341
294	0.383097208
295	0.3826304241
296	0.3823670855
297	0.3821752924
298	0.3818755046
299	0.3817394924
300	0.38147346
301	0.3812484836
302	0.3806908739
303	0.3804637316
304	0.3802464593
305	0.3800491906
306	0.3797115141
307	0.3793301352
308	0.3791312889
309	0.3788229523
310	0.3785720713
311	0.37831358
312	0.3779420139
313	0.3776450396
314	0.3774877085
315	0.3772857828
316	0.377192362
317	0.3770921786
318	0.3769260519
319	0.3767894677
320	0.3761535976
321	0.3760354515
322	0.3758496867
323	0.3756024066
324	0.3751637751
325	0.3751002847
326	0.3744536598
327	0.3741748935
328	0.3739484857
329	0.3737808152
330	0.3735685522
331	0.3728060866
332	0.3726358056
333	0.3723890962
334	0.3720099263
335	0.3714380654
336	0.3711835318
337	0.3709282757
338	0.3706840974
339	0.3705073204
340	0.3703007119
341	0.3701046691
342	0.3698168688
343	0.3695629279
344	0.3691104885
345	0.3689530372
346	0.3687911857
347	0.368607368
348	0.3684913274
349	0.3682987538
350	0.3681310266
351	0.3677325584
352	0.3676147462
353	0.3675409968
354	0.3673118875
355	0.3671407321
356	0.3669845248
357	0.366472843
358	0.3663752161
359	0.3660407302
360	0.36563548
361	0.3653448933
362	0.365285404
363	0.3650841294
364	0.3644967509
365	0.3643137775
366	0.3642692802
367	0.3640792946
368	0.3639267028
369	0.3637581093
370	0.3635041595
371	0.363194203
372	0.3631030917
373	0.3629353655
374	0.3628475894
375	0.3626513591
376	0.3624880041
377	0.3623425557
378	0.362233085
379	0.362040277
380	0.361893637
381	0.3616719428
382	0.3615089138
383	0.3613615898
384	0.361237083
385	0.3610152722
386	0.3607698338
387	0.3606547248
388	0.3605121417
389	0.3603017983
390	0.3602646988
391	0.3601680748
392	0.3601098816
393	0.3597983655
394	0.3596587619
395	0.3595212509
396	0.3594077692
397	0.3592861473
398	0.3591871567
399	0.3590344422
