iter	Passed	Remaining
0	172	68979
1	215	21374
2	247	16242
3	280	13763
4	302	11784
5	314	1018066	337	929477	358	859288	380	806699	406	7720110	436	7492111	456	7154112	477	6870113	510	6785114	539	6659115	563	6474
16	574	6183117	609	6158118	622	5925119	641	5775220	666	568421	691	5594
22	708	5454
223	727	5334224	751	525825	769	5151
26	792	5076
27	814	5003
28	840	4957
29	867	4918
30	902	4922
31	939	4930
32	967	4897
33	1009	4928
34	1043	4921
35	1070	4874
36	1090	4805
37	1119	4771
38	1142	4714
39	1162	4650
40	1178	4570
41	1198	4509
42	1216	4443
43	1235	4381444	1252	4314445	1268	4246446	1290	4200
47	1307	4139
48	1326	4086449	1349	4048
50	1368	3998
51	1384	3940
52	1397	3875553	1426	385754	1443	3805555	1472	3785
56	1490	3739
57	1508	3693
58	1526	3647
59	1550	3618
60	1581	3606161	1610	3585
62	1633	3552
63	1658	3524
64	1683	3496565	1708	3466666	1730	3436767	1762	3421
68	1786	3391
69	1818	3376
70	1843	3349
	1809	3216
72	1829	3183
73	1851	3152
74	1879	3132
75	1901	3103
76	1923	3072
77	1946	3043
78	1959	3000
79	1975	2963
80	1992	2927
81	2009	2891
82	2030	2862
83	2061	2846
884	2082	281785	2105	2791
86	2118	2751
87	2131	2713
88	2152	2684
89	2174	2657
90	2194	2628
91	2218	2604
92	2233	2570
93	2260	2548
94	2281	2521
95	2296	2487
96	2313	2457
97	2328	2423
98	2349	2397
99	2366	2366
100	2380	2333
101	2395	2301
102	2410	2270
103	2426	2239
104	2440	2208
105	2457	2179
106	2476	2152
107	2493	2124
108	2503	2090
109	2512	2055
110	2524	2023
111	2534	1991
112	2545	1959
113	2561	1932
114	2579	1906
115	2590	1875
116	2601	1845
117	2613	1815
118	2623	1785
119	2630	1753
120	2643	1725
121	2657	1699
122	2669	1671
123	2688	1647
124	2696	1618
125	2709	1591
126	2721	1564
1127	2741	1542
128	2754	1516
129	2785	1499
130	2802	1476
131	2813	1449
132	2827	1424
133	2841	1399
134	2850	1372
135	2860	1346
136	2870	1319
137	2884	1295
138	2893	1269
139	2900	1243
140	2910	1217
141	2916	1191
142	2926	1166
143	2937	1142
144	2949	1118
145	2958	1094
146	2970	1070
147	2979	1046
148	2994	1024
149	3004	1001
150	3015	978
151	3023	954
152	3035	932
153	3046	910
154	3058	887
155	3075	867
156	3084	844
157	3100	824
158	3111	802
159	3123	780
160	3140	760
161	3154	739
162	3165	718
163	3176	697
164	3184	675
165	3189	653
166	3196	631
167	3202	610
168	3209	588
169	3215	567
170	3222	546
171	3229	525
172	3236	505
173	3243	484
174	3249	464
175	3255	443
176	3263	424
177	3269	404
178	3274	384
179	3284	364
180	3290	345
181	3297	326
182	3303	306
183	3308	287
184	3314	268
185	3320	249
186	3325	231
187	3331	212
188	3337	194
189	3342	175
190	3348	191	191	3354	192	3355	121
193	3365	104
194	3373	86
195	3384	69
196	3395	51
197	3406	34
198	3418	17
199	199	3438	0
7	2568	2620
198	2576	2602
199	2584	2584
200	2595	2569
201	2601	2549
202	2610	2532
203	2616	2513
204	2621	2493
205	2628	2475
206	2633	2455
207	2639	2436
208	2655	2426
209	2660	2407
210	2668	2390
211	2678	2375
212	2687	2359
213	2692	2340
214	2708	2330
215	2711	2310
216	2720	2293
217	2729	2278
218	2733	2258
219	2757	2255
220	2768	2242
221	2779	2228
222	2787	2212
223	2796	2197
224	2805	2181
225	2813	2166
226	2820	2149
227	2826	2132
228	2830	2113
229	2835	2095
230	2844	2081
231	2851	2064
232	2858	2049
233	2865	2032
234	2872	2016
235	2881	2002
236	2884	1983
237	2889	1966
238	2894	1950
239	2900	1933
240	2903	1915
241	2911	1900
242	2917	1884
243	2923	1869
244	2930	1853
245	2935	1837
246	2939	1820
247	2944	1804
248	2949	1788
249	2955	1773
250	2965	1760
251	2968	1743
252	2973	1727
253	2978	1711
254	2987	1698
255	2992	1683
256	3000	1669
257	3006	1654
258	3010	1638
259	3014	1623
260	3019	1608
261	3023	1592
262	3031	1579
263	3037	1564
264	3044	1550
265	3049	1536
266	3058	1523
267	3065	1509
268	3069	1494
269	3077	1481
270	3084	1468
271	3090	1454
272	3096	1440
273	3101	1426
274	3107	1412
275	3118	1400
276	3124	1387
277	3131	1374
278	3138	1361
279	3148	1349
280	3171	1343
281	3178	1329
282	3185	1317
283	3191	1303
284	3197	1290
285	3204	1277
286	3209	1263
287	3216	1250
288	3221	1237
289	3230	1225
290	3237	1212
291	3244	1200
292	3250	1187
293	3257	1174
294	3262	1161
295	3271	1149
296	3276	1136
297	3286	1124
298	3293	1112
299	3301	1100
300	3307	1087
301	3316	1076
302	3325	1064
303	3334	1053
304	3338	1039
305	3344	1027
306	3351	1015
307	3359	1003
308	3367	991
309	3376	980
310	3381	967
311	3388	955
312	3399	945
313	3412	934
314	3416	922
315	3422	909
316	3428	897
317	3441	887
318	3446	875
319	3463	865
320	3481	856
321	3488	845
322	3510	836
323	3523	826
324	3526	813
325	3530	801
326	3534	789
327	3537	776
328	3540	764
329	3543	751
330	3546	739
331	3548	726
332	3550	714
333	3555	702
334	3559	690
335	3561	678
336	3564	666
337	3567	654
338	3570	642
339	3573	630
340	3576	618
341	3578	606
342	3581	595
343	3584	583
344	3588	572
345	3590	560
346	3594	549
347	3598	537
348	3601	526
349	3606	515
350	3611	504
351	3613	492
352	3618	481
353	3621	470
354	3624	459
355	3627	448
356	3629	437
357	3633	426
358	3637	415
359	3639	404
360	3642	393
361	3644	382
362	3646	371
363	3650	360
364	3652	350
365	3655	339
366	3657	328
367	3659	318
368	3661	307
369	3663	297
370	3665	286
371	3667	276
372	3669	265
373	3671	255
374	3673	244
375	3675	234
376	3677	224
377	3679	214
378	3681	203
379	3683	193
380	3685	183
381	3687	173
382	3689	163
383	3691	153
384	3693	143
385	3695	134
386	3696	124
387	3698	114
388	3700	104
389	3702	94
390	3704	85
391	3706	75
392	3708	66
393	3709	56
394	3712	46
395	3713	37
396	3715	28
397	3717	18
398	3719	9
399	3721	0
09	0
